Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
202,Mark Vientos,25,NYM,NL,-0.9,84,322,298,26,69,14,2,8,36,0,0,18,75,.232,.276,.372,.649,85,.288,84,111,7,2,0,4,0,5D/H3,,vientma01
203,Carson Kelly,30,CHC,NL,3.4,85,321,275,43,73,12,1,13,40,1,0,40,50,.265,.361,.458,.820,138,.363,140,126,8,3,0,3,0,2/HD,,kellyca02
204,Nathan Lukes*,30,TOR,AL,1.5,100,321,278,43,70,11,1,10,49,2,2,33,36,.252,.333,.406,.740,104,.322,103,113,9,2,6,2,2,*978H/D,,lukesna01
205,Luis Urías,28,ATH,AL,0.5,91,320,279,27,65,7,0,8,23,2,1,30,42,.233,.315,.344,.660,84,.304,90,96,8,5,0,3,0,*4/5H,,uriaslu01
206,Bo Naylor*,25,CLE,AL,0.8,94,319,276,36,50,15,1,11,28,1,2,38,77,.181,.280,.362,.642,76,.284,76,100,4,1,1,3,0,*2/H,,naylobo01
207,Brett Baty*,25,NYM,NL,1.9,97,318,289,36,69,9,2,13,39,6,0,24,77,.239,.297,.419,.715,103,.325,108,121,5,1,0,3,0,54H/D,,batybr01
208,Rhys Hoskins,32,MIL,NL,1.0,82,318,269,30,65,12,1,12,42,2,1,38,85,.242,.340,.428,.767,115,.339,115,115,6,5,0,6,2,3/HD,,hoskirh01
209,Taylor Walls#,28,TBR,AL,2.6,101,317,282,36,62,14,1,4,38,14,6,26,70,.220,.280,.319,.599,68,.269,65,90,1,0,3,6,0,*6/H45D,,wallsta01
210,Victor Caratini#,31,HOU,AL,0.7,89,316,284,30,73,12,0,10,37,1,0,18,54,.257,.316,.405,.721,99,.314,96,115,8,9,0,5,0,2DH3,,caratvi01
211,Matt Shaw,23,CHC,NL,2.4,90,315,285,42,64,16,1,10,32,15,2,25,61,.225,.289,.393,.682,97,.312,99,112,2,2,0,3,0,*5/H4,,shawma01
212,Jorge Soler,33,LAA,AL,-0.4,82,315,279,31,60,12,0,12,34,0,0,28,94,.215,.293,.387,.680,88,.303,90,108,5,4,0,3,0,9D/H,,solerjo01
213,Jake Mangum#,29,TBR,AL,0.3,86,313,296,29,81,12,1,2,31,18,3,15,49,.274,.311,.341,.652,83,.293,77,101,4,1,1,0,0,*798/H,,manguja01
214,Brandon Marsh*,27,PHI,NL,0.9,102,313,277,42,75,17,1,7,28,5,1,28,77,.271,.333,.415,.748,104,.333,103,115,2,0,3,4,0,*87H/9,,marshbr02
215,Drake Baldwin*,24,ATL,NL,2.4,90,312,284,34,79,12,0,13,53,0,0,25,52,.278,.343,.458,.801,123,.359,129,130,6,3,0,0,0,2HD,,baldwdr01
216,Santiago Espinal,30,CIN,NL,-1.0,102,311,285,24,71,12,0,0,16,2,1,21,37,.249,.301,.291,.592,62,.265,54,83,10,1,2,2,0,54H7/936D,,espinsa01
217,Sean Murphy,30,ATL,NL,2.0,84,311,266,32,55,12,0,16,43,0,0,34,97,.207,.312,.432,.744,107,.329,108,115,7,8,0,3,1,2H/D,,murphse01
218,Pedro Pagés,26,STL,NL,1.0,92,311,286,33,65,13,0,9,39,0,0,18,82,.227,.276,.367,.643,80,.283,76,105,7,2,3,2,1,*2/34,,pagespe02
