Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru,Name-additional
430,Jake McCarthy*,27,ARI,144,559,3.88,365,65.3%,25.5%,15.9%,29.9%,28.8%,74.5%,0.0%,48.7%,78.7%,30.6%,2.1%,3,0,13.2%,19,6,5.6%,8,7,7,20,25.9%,0,0,0,mccarja02
431,Chas McCormick,30,HOU,101,370,3.66,242,65.4%,17.4%,27.3%,27.7%,27.7%,82.6%,0.0%,54.1%,67.0%,44.6%,2.0%,2,1,11.9%,12,7,8.9%,9,4,4,22,15.4%,0,0,0,mccorch01
432,Mason McCoy,30,SDP,5,18,3.60,15,83.3%,33.3%,40.0%,13.3%,13.3%,66.7%,0.0%,55.6%,40.0%,20.0%,0.0%,0,0,20.0%,1,0,0.0%,0,0,1,2,33.3%,0,0,0,mccoyma01
433,Grant McCray*,24,SFG,21,68,3.24,52,76.5%,25.0%,26.9%,26.9%,21.2%,75.0%,0.0%,57.4%,64.1%,38.1%,0.0%,0,0,14.3%,3,2,4.8%,1,1,1,9,10.0%,0,0,0,mccragr01
434,Carson McCusker,27,MIN,9,38,4.22,26,68.4%,23.1%,34.6%,26.9%,15.4%,76.9%,0.0%,52.6%,55.0%,44.4%,0.0%,0,0,0.0%,0,0,11.1%,1,1,2,3,40.0%,0,0,0,mccusca01
435,Andrew McCutchen,38,PIT,439,1817,4.14,1120,61.3%,25.4%,20.4%,28.3%,25.9%,74.6%,0.0%,46.0%,72.6%,31.2%,5.2%,23,6,14.1%,62,24,11.6%,51,28,16,80,16.7%,0,0,0,mccutan01
436,Reese McGuire*,30,CHC,91,331,3.64,226,67.9%,21.2%,18.6%,28.8%,31.0%,78.3%,0.0%,53.5%,75.8%,31.9%,2.2%,2,0,13.2%,12,7,5.5%,5,3,2,16,11.1%,0,0,0,mcguire01
437,Billy McKinney*,30,TEX,8,31,3.88,23,74.2%,21.7%,17.4%,34.8%,26.1%,78.3%,0.0%,58.1%,77.8%,37.5%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0,mckinbi01
438,Zach McKinstry*,30,DET,419,1652,3.94,1053,63.7%,27.0%,16.4%,30.0%,26.6%,73.0%,0.0%,46.5%,77.5%,32.7%,4.1%,17,0,14.6%,61,20,8.8%,37,13,15,78,16.1%,0,0,0,mckinza01
439,Matt McLain,25,CIN,462,1875,4.06,1184,63.1%,31.7%,18.6%,25.4%,24.2%,68.2%,0.0%,43.1%,72.7%,19.9%,4.8%,22,0,13.9%,64,26,7.6%,35,17,34,92,27.0%,0,0,0,mclaima01
440,Ryan McMahon*,30,TOT,482,2037,4.23,1229,60.2%,25.6%,26.0%,26.5%,21.8%,74.4%,0.0%,44.9%,65.0%,34.0%,3.7%,18,2,13.3%,64,35,10.8%,52,30,29,119,19.6%,0,0,0,mcmahry01
441,Ryan McMahon*,30,COL,404,1714,4.24,1041,60.6%,24.7%,26.4%,27.4%,21.5%,75.3%,0.0%,45.7%,64.9%,35.9%,3.5%,14,2,12.6%,51,29,9.9%,40,22,21,106,16.5%,0,0,0,mcmahry01
442,Ryan McMahon*,30,NYY,78,323,4.14,188,58.2%,30.9%,23.9%,21.8%,23.4%,69.1%,0.0%,40.2%,65.4%,24.4%,5.1%,4,0,16.7%,13,6,15.4%,12,8,8,13,38.1%,0,0,0,mcmahry01
443,Jeff McNeil*,33,NYM,332,1191,3.59,788,65.3%,17.9%,12.1%,37.7%,32.4%,82.1%,0.0%,54.3%,85.3%,39.8%,3.6%,12,1,9.6%,32,14,8.1%,27,11,4,31,11.4%,0,0,0,mcneije01
